Usage_kWh,Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,CO2(tCO2),Lagging_Current_Power_Factor,Leading_Current_Power_Factor,NSM,hour,month,is_weekend
-0.09393828148291801,-0.16349817518527407,0.0,0.0,-0.4723483836494793,0.0,-1.0,-1.0,-0.8,0.0
-0.11687946309949114,-0.22896812094331123,0.0,0.0,-0.39460325941757984,0.0,-0.9789473684210527,-1.0,-0.8,0.0
-0.04535654064750385,-0.05442937863674821,0.0,0.0,-0.5666577611541548,0.0,-0.9578947368421052,-1.0,-0.8,0.0
-0.11032015020548629,-0.1857086104333659,0.0,0.0,-0.4728827144002139,0.0,-0.9368421052631579,-1.0,-0.8,0.0
-0.10386824610499869,-0.15154327816047822,0.0,0.0,-0.531391931605664,0.0,-0.9157894736842105,-0.9130434782608695,-0.8,0.0
-0.05980281764601023,-0.050494005211404916,0.0,0.0,-0.6214266631044619,0.0,-0.8947368421052632,-0.9130434782608695,-0.8,0.0
-0.1066204216472631,-0.15154327816047822,0.0,0.0,-0.5402083889927866,0.0,-0.8736842105263158,-0.9130434782608695,-0.8,0.0
-0.0782104118227274,-0.0869913493014431,0.0,0.0,-0.5973817793214,0.0,-0.8526315789473684,-0.9130434782608695,-0.8,0.0
-0.0782104118227274,-0.07250292905162498,0.0,0.0,-0.6307774512423191,0.0,-0.8315789473684211,-0.8260869565217391,-0.8,0.0
-0.1066204216472631,-0.14216662850647113,0.0,0.0,-0.5621159497729097,0.0,-0.8105263157894737,-0.8260869565217391,-0.8,0.0
-0.06308632161866981,-0.029348402236974633,0.0,0.0,-0.6804702110606469,0.0,-0.7894736842105263,-0.8260869565217391,-0.8,0.0
-0.09038854399210727,-0.09865469779044314,0.0,0.0,-0.6102057173390331,0.0,-0.7684210526315789,-0.8260869565217391,-0.8,0.0
-0.11032015020548629,-0.14216662850647113,0.0,0.0,-0.5741383916644407,0.0,-0.7473684210526316,-0.7391304347826086,-0.8,0.0
-0.048521362453618044,-0.006284844454654674,0.0,0.0,-0.6855463531926265,0.0,-0.7263157894736842,-0.7391304347826086,-0.8,0.0
-0.10386824610499869,-0.13067059028450229,0.0,0.0,-0.5800160299225223,0.0,-0.7052631578947368,-0.7391304347826086,-0.8,0.0
-0.10386824610499869,-0.11830178625703781,0.0,0.0,-0.6088698904621964,0.0,-0.6842105263157895,-0.7391304347826086,-0.8,0.0
-0.05412171536491502,-0.0035823637812626677,0.0,0.0,-0.710125567726423,0.0,-0.6631578947368421,-0.6521739130434783,-0.8,0.0
-0.1066204216472631,-0.12164705303182023,0.0,0.0,-0.6102057173390331,0.0,-0.6421052631578947,-0.6521739130434783,-0.8,0.0
-0.08165164065280218,-0.07250292905162498,0.0,0.0,-0.641998397007748,0.0,-0.6210526315789474,-0.6521739130434783,-0.8,0.0
-0.06639741838508668,-0.04658714923528276,0.0,0.0,-0.6518835158963401,0.0,-0.6,-0.6521739130434783,-0.8,0.0
-0.10386824610499869,-0.14683456905559128,0.0,0.0,-0.5423457119957253,0.0,-0.5789473684210527,-0.5652173913043478,-0.8,0.0
-0.08165164065280218,-0.09438422979609375,0.0,0.0,-0.5915041410633183,0.0,-0.5578947368421052,-0.5652173913043478,-0.8,0.0
-0.08165164065280218,-0.09120343139313189,0.0,0.0,-0.5989847715736042,0.0,-0.5368421052631579,-0.5652173913043478,-0.8,0.0
-0.1066204216472631,-0.15988379003644929,0.0,0.0,-0.5209724819663373,0.0,-0.5157894736842106,-0.5652173913043478,-0.8,0.0
-0.06308632161866981,-0.0684339001864821,0.0,0.0,-0.5912369756879512,0.0,-0.49473684210526314,-0.4782608695652174,-0.8,0.0
-0.10022832925876395,-0.14216662850647113,0.0,0.0,-0.5412770504942562,0.0,-0.47368421052631576,-0.4782608695652174,-0.8,0.0
-0.11032015020548629,-0.17696216981135407,0.0,0.0,-0.4931872829281328,0.0,-0.45263157894736844,-0.4782608695652174,-0.8,0.0
-0.05412171536491502,-0.05442937863674821,0.0,0.0,-0.5944429601923592,0.0,-0.43157894736842106,-0.4782608695652174,-0.8,0.0
-0.10386824610499869,-0.15510199580391207,0.0,0.0,-0.5231098049692761,0.0,-0.4105263157894737,-0.391304347826087,-0.8,0.0
-0.1066204216472631,-0.15988379003644929,0.0,0.0,-0.5209724819663373,0.0,-0.3894736842105263,-0.391304347826087,-0.8,0.0
-0.05735802264737142,-0.02652811455656206,0.0,0.0,-0.6681806037937486,0.0,-0.3684210526315789,-0.391304347826087,-0.8,0.0
-0.114054947803517,-0.14683456905559128,0.0,0.0,-0.5754742185412773,0.0,-0.3473684210526316,-0.391304347826087,-0.8,0.0
-0.10386824610499869,-0.12613994374483292,0.0,0.0,-0.5904354795618492,0.0,-0.3263157894736842,-0.30434782608695654,-0.8,0.0
-0.06308632161866981,-0.02652811455656206,0.0,0.0,-0.6868821800694631,0.0,-0.30526315789473685,-0.30434782608695654,-0.8,0.0
-0.1066204216472631,-0.13067059028450229,0.0,0.0,-0.588832487309645,0.0,-0.28421052631578947,-0.30434782608695654,-0.8,0.0
-0.08774707132941478,-0.05442937863674821,0.14671040572766111,0.0,-0.7039807640929737,-0.7222222222221696,-0.2631578947368421,-0.30434782608695654,-0.8,0.0
-0.05412171536491502,-0.9695983108626012,2.4934255623147923,0.0,0.3211327811915575,-421.6111111110951,-0.24210526315789474,-0.21739130434782608,-0.8,0.0
-0.0782104118227274,-0.9695983108626012,2.5600257674971227,0.0,0.3211327811915575,-440.2222222222055,-0.22105263157894736,-0.21739130434782608,-0.8,0.0
-0.042999495553797853,-0.9695983108626012,2.7510804345789004,0.0,0.3211327811915575,-452.1666666666495,-0.2,-0.21739130434782608,-0.8,0.0
-0.0517118106261357,-0.9695983108626012,2.6650853206742067,0.0,0.3211327811915575,-444.55555555553866,-0.17894736842105263,-0.21739130434782608,-0.8,0.0
-0.07479897755552324,-0.9695983108626012,2.5560686610221772,0.0,0.3211327811915575,-438.44444444442786,-0.15789473684210525,-0.13043478260869565,-0.8,0.0
-0.0398785430267422,-0.9695983108626012,2.7915192889253833,0.0,0.3211327811915575,-455.88888888887163,-0.1368421052631579,-0.13043478260869565,-0.8,0.0
-0.06889912962418372,-0.9695983108626012,2.609922380471843,0.0,0.3211327811915575,-443.3888888888721,-0.11578947368421053,-0.13043478260869565,-0.8,0.0
-0.0782104118227274,-0.9695983108626012,2.5580494224682218,0.0,0.3211327811915575,-439.94444444442775,-0.09473684210526316,-0.13043478260869565,-0.8,0.0
-0.02914586633575241,-0.9695983108626012,2.831647750983706,0.0,0.3211327811915575,-457.1666666666493,-0.07368421052631578,-0.043478260869565216,-0.8,0.0
-0.08774707132941478,-0.9695983108626012,1.6793701504442176,0.0,0.3211327811915575,-263.61111111110114,-0.05263157894736842,-0.043478260869565216,-0.8,0.0
-0.09038854399210727,-0.9695983108626012,1.5611996052151937,0.0,0.3211327811915575,-231.61111111110233,-0.031578947368421054,-0.043478260869565216,-0.8,0.0
-0.04535654064750385,-0.9695983108626012,1.8093180593856422,0.0,0.3211327811915575,-270.77777777776754,-0.010526315789473684,-0.043478260869565216,-0.8,0.0
-0.08774707132941478,-0.9695983108626012,1.5222824514626077,0.0,0.3211327811915575,-218.38888888888062,0.010526315789473684,0.043478260869565216,-0.8,0.0
-0.0782104118227274,-0.9695983108626012,2.3322430241008196,0.0,0.3211327811915575,-406.1111111110957,0.031578947368421054,0.043478260869565216,-0.8,0.0
-0.026132328154647944,-0.9695983108626012,2.8225190361251555,0.0,0.3211327811915575,-455.22222222220495,0.05263157894736842,0.043478260869565216,-0.8,0.0
-0.07225964634005592,-0.9695983108626012,2.5455964166002456,0.0,0.3211327811915575,-436.1111111110946,0.07368421052631578,0.043478260869565216,-0.8,0.0
-0.07225964634005592,-0.9695983108626012,2.5435875990192183,0.0,0.3211327811915575,-435.83333333331683,0.09473684210526316,0.13043478260869565,-0.8,0.0
-0.026132328154647944,-0.9695983108626012,2.8291011731402618,0.0,0.3211327811915575,-455.9999999999827,0.11578947368421053,0.13043478260869565,-0.8,0.0
-0.07479897755552324,-0.9695983108626012,2.549100929862184,0.0,0.3211327811915575,-437.4999999999834,0.1368421052631579,0.13043478260869565,-0.8,0.0
-0.07225964634005592,-0.9695983108626012,2.56150513982091,0.0,0.3211327811915575,-438.2777777777612,0.15789473684210525,0.13043478260869565,-0.8,0.0
-0.023887204151453765,-0.9695983108626012,2.831647750983706,0.0,0.3211327811915575,-455.61111111109386,0.17894736842105263,0.21739130434782608,-0.8,0.0
-0.07479897755552324,-0.9695983108626012,2.5455964166002456,0.0,0.3211327811915575,-437.055555555539,0.2,0.21739130434782608,-0.8,0.0
-0.06308632161866981,-0.9695983108626012,2.6215093477968194,0.0,0.3211327811915575,-442.8888888888721,0.22105263157894736,0.21739130434782608,-0.8,0.0
-0.03755394515435122,-0.9695983108626012,2.7831174214861982,0.0,0.3211327811915575,-454.22222222220506,0.24210526315789474,0.21739130434782608,-0.8,0.0
-0.07479897755552324,-0.9695983108626012,2.5471000477975405,0.0,0.3211327811915575,-437.2222222222057,0.2631578947368421,0.30434782608695654,-0.8,0.0
-0.0517118106261357,-0.9695983108626012,2.669894355484304,0.0,0.3211327811915575,-445.16666666664975,0.28421052631578947,0.30434782608695654,-0.8,0.0
-0.03755394515435122,-0.9695983108626012,2.7538609578752076,0.0,0.3211327811915575,-450.7777777777607,0.30526315789473685,0.30434782608695654,-0.8,0.0
-0.0782104118227274,-0.9695983108626012,2.552591641910975,0.0,0.3211327811915575,-439.2222222222056,0.3263157894736842,0.30434782608695654,-0.8,0.0
-0.048521362453618044,-0.9695983108626012,2.7174288280176597,0.0,0.3211327811915575,-449.94444444442735,0.3473684210526316,0.391304347826087,-0.8,0.0
-0.04535654064750385,-0.9695983108626012,2.730554700495468,0.0,0.3211327811915575,-450.49999999998295,0.3684210526315789,0.391304347826087,-0.8,0.0
-0.0782104118227274,-0.9695983108626012,2.552591641910975,0.0,0.3211327811915575,-439.2222222222056,0.3894736842105263,0.391304347826087,-0.8,0.0
-0.0398785430267422,-0.9695983108626012,2.7652882426011525,0.0,0.3211327811915575,-452.8888888888717,0.4105263157894737,0.391304347826087,-0.8,0.0
-0.05980281764601023,-0.9695983108626012,2.6637692248448217,0.0,0.3211327811915575,-447.1111111110942,0.43157894736842106,0.4782608695652174,-0.8,0.0
-0.08165164065280218,-0.9695983108626012,2.5600257674971227,0.0,0.3211327811915575,-441.44444444442775,0.45263157894736844,0.4782608695652174,-0.8,0.0
-0.03755394515435122,-0.9695983108626012,2.8356347927339414,0.0,0.3211327811915575,-460.11111111109363,0.47368421052631576,0.4782608695652174,-0.8,0.0
-0.0782104118227274,-0.9695983108626012,2.580997742344572,0.0,0.3211327811915575,-442.9444444444277,0.49473684210526314,0.4782608695652174,-0.8,0.0
-0.0782104118227274,-0.9695983108626012,2.5790676591034787,0.0,0.3211327811915575,-442.6666666666499,0.5157894736842106,0.5652173913043478,-0.8,0.0
-0.04535654064750385,-0.9695983108626012,2.0374365999248787,0.0,0.3211327811915575,-329.0555555555431,0.5368421052631579,0.5652173913043478,-0.8,0.0
-0.09393828148291801,-0.9695983108626012,1.6550469370805176,0.0,0.3211327811915575,-261.05555555554565,0.5578947368421052,0.5652173913043478,-0.8,0.0
-0.07225964634005592,-0.9695983108626012,2.5237592845423817,0.0,0.3211327811915575,-433.1111111110947,0.5789473684210527,0.5652173913043478,-0.8,0.0
-0.0398785430267422,-0.9695983108626012,2.800971184610062,0.0,0.3211327811915575,-456.9444444444271,0.6,0.6521739130434783,-0.8,0.0
-0.0842524302704854,-0.9695983108626012,2.580997742344572,0.0,0.3211327811915575,-445.05555555553866,0.6210526315789474,0.6521739130434783,-0.8,0.0
-0.05735802264737142,-0.9695983108626012,2.7293323738780746,0.0,0.3211327811915575,-454.16666666664946,0.6421052631578947,0.6521739130434783,-0.8,0.0
-0.048521362453618044,-0.9695983108626012,2.7350221986860666,0.0,0.3211327811915575,-452.05555555553843,0.6631578947368421,0.6521739130434783,-0.8,0.0
-0.08165164065280218,-0.9695983108626012,2.5790676591034787,0.0,0.3211327811915575,-443.8888888888721,0.6842105263157895,0.7391304347826086,-0.8,0.0
-0.042999495553797853,-0.9695983108626012,2.799842264425729,0.0,0.3211327811915575,-457.77777777776043,0.7052631578947368,0.7391304347826086,-0.8,0.0
-0.06639741838508668,-0.9695983108626012,2.679434852833257,0.0,0.3211327811915575,-451.16666666664963,0.7263157894736842,0.7391304347826086,-0.8,0.0
-0.08165164065280218,-0.9695983108626012,2.5824425517569605,0.0,0.3211327811915575,-444.33333333331655,0.7473684210526316,0.7391304347826086,-0.8,0.0
-0.02914586633575241,-0.9695983108626012,2.8623514136659853,0.0,0.3211327811915575,-460.55555555553815,0.7684210526315789,0.8260869565217391,-0.8,0.0
-0.08165164065280218,-0.9695983108626012,2.5981819389229104,0.0,0.3211327811915575,-446.33333333331643,0.7894736842105263,0.8260869565217391,-0.8,0.0
-0.0842524302704854,-0.9695983108626012,2.5824425517569605,0.0,0.3211327811915575,-445.22222222220535,0.8105263157894737,0.8260869565217391,-0.8,0.0
-0.026132328154647944,-0.9695983108626012,2.894737719377157,0.0,0.3211327811915575,-463.1666666666491,0.8315789473684211,0.8260869565217391,-0.8,0.0
