Usage_kWh,Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,CO2(tCO2),Lagging_Current_Power_Factor,Leading_Current_Power_Factor,NSM,hour,month,is_weekend,Cluster
-0.093938281482918,-0.163498175185274,0.0,0.0,-0.4723483836494793,0.0,-1.0,-1.0,-0.8,0.0,0
-0.1168794630994911,-0.2289681209433112,0.0,0.0,-0.3946032594175798,0.0,-0.9789473684210528,-1.0,-0.8,0.0,0
-0.0453565406475038,-0.0544293786367482,0.0,0.0,-0.5666577611541548,0.0,-0.9578947368421052,-1.0,-0.8,0.0,0
-0.1103201502054862,-0.1857086104333659,0.0,0.0,-0.4728827144002139,0.0,-0.936842105263158,-1.0,-0.8,0.0,0
-0.1038682461049986,-0.1515432781604782,0.0,0.0,-0.531391931605664,0.0,-0.9157894736842104,-0.9130434782608696,-0.8,0.0,0
-0.0598028176460102,-0.0504940052114049,0.0,0.0,-0.6214266631044619,0.0,-0.8947368421052632,-0.9130434782608696,-0.8,0.0,0
-0.1066204216472631,-0.1515432781604782,0.0,0.0,-0.5402083889927866,0.0,-0.8736842105263158,-0.9130434782608696,-0.8,0.0,0
-0.0782104118227274,-0.0869913493014431,0.0,0.0,-0.5973817793214,0.0,-0.8526315789473684,-0.9130434782608696,-0.8,0.0,0
-0.0782104118227274,-0.0725029290516249,0.0,0.0,-0.6307774512423191,0.0,-0.8315789473684211,-0.8260869565217391,-0.8,0.0,0
-0.1066204216472631,-0.1421666285064711,0.0,0.0,-0.5621159497729097,0.0,-0.8105263157894737,-0.8260869565217391,-0.8,0.0,0
-0.0630863216186698,-0.0293484022369746,0.0,0.0,-0.6804702110606469,0.0,-0.7894736842105263,-0.8260869565217391,-0.8,0.0,0
-0.0903885439921072,-0.0986546977904431,0.0,0.0,-0.6102057173390331,0.0,-0.7684210526315789,-0.8260869565217391,-0.8,0.0,0
-0.1103201502054862,-0.1421666285064711,0.0,0.0,-0.5741383916644407,0.0,-0.7473684210526316,-0.7391304347826086,-0.8,0.0,0
-0.048521362453618,-0.0062848444546546,0.0,0.0,-0.6855463531926265,0.0,-0.7263157894736842,-0.7391304347826086,-0.8,0.0,0
-0.1038682461049986,-0.1306705902845022,0.0,0.0,-0.5800160299225223,0.0,-0.7052631578947368,-0.7391304347826086,-0.8,0.0,0
-0.1038682461049986,-0.1183017862570378,0.0,0.0,-0.6088698904621964,0.0,-0.6842105263157895,-0.7391304347826086,-0.8,0.0,0
-0.054121715364915,-0.0035823637812626,0.0,0.0,-0.710125567726423,0.0,-0.6631578947368421,-0.6521739130434783,-0.8,0.0,0
-0.1066204216472631,-0.1216470530318202,0.0,0.0,-0.6102057173390331,0.0,-0.6421052631578947,-0.6521739130434783,-0.8,0.0,0
-0.0816516406528021,-0.0725029290516249,0.0,0.0,-0.641998397007748,0.0,-0.6210526315789474,-0.6521739130434783,-0.8,0.0,0
-0.0663974183850866,-0.0465871492352827,0.0,0.0,-0.6518835158963401,0.0,-0.6,-0.6521739130434783,-0.8,0.0,0
-0.1038682461049986,-0.1468345690555912,0.0,0.0,-0.5423457119957253,0.0,-0.5789473684210527,-0.5652173913043478,-0.8,0.0,0
-0.0816516406528021,-0.0943842297960937,0.0,0.0,-0.5915041410633183,0.0,-0.5578947368421052,-0.5652173913043478,-0.8,0.0,0
-0.0816516406528021,-0.0912034313931318,0.0,0.0,-0.5989847715736042,0.0,-0.5368421052631579,-0.5652173913043478,-0.8,0.0,0
-0.1066204216472631,-0.1598837900364492,0.0,0.0,-0.5209724819663373,0.0,-0.5157894736842106,-0.5652173913043478,-0.8,0.0,0
-0.0630863216186698,-0.0684339001864821,0.0,0.0,-0.5912369756879512,0.0,-0.4947368421052631,-0.4782608695652174,-0.8,0.0,0
-0.1002283292587639,-0.1421666285064711,0.0,0.0,-0.5412770504942562,0.0,-0.4736842105263157,-0.4782608695652174,-0.8,0.0,0
-0.1103201502054862,-0.176962169811354,0.0,0.0,-0.4931872829281328,0.0,-0.4526315789473684,-0.4782608695652174,-0.8,0.0,0
-0.054121715364915,-0.0544293786367482,0.0,0.0,-0.5944429601923592,0.0,-0.431578947368421,-0.4782608695652174,-0.8,0.0,0
-0.1038682461049986,-0.155101995803912,0.0,0.0,-0.5231098049692761,0.0,-0.4105263157894737,-0.391304347826087,-0.8,0.0,0
-0.1066204216472631,-0.1598837900364492,0.0,0.0,-0.5209724819663373,0.0,-0.3894736842105263,-0.391304347826087,-0.8,0.0,0
-0.0573580226473714,-0.026528114556562,0.0,0.0,-0.6681806037937486,0.0,-0.3684210526315789,-0.391304347826087,-0.8,0.0,0
-0.114054947803517,-0.1468345690555912,0.0,0.0,-0.5754742185412773,0.0,-0.3473684210526316,-0.391304347826087,-0.8,0.0,0
-0.1038682461049986,-0.1261399437448329,0.0,0.0,-0.5904354795618492,0.0,-0.3263157894736842,-0.3043478260869565,-0.8,0.0,0
-0.0630863216186698,-0.026528114556562,0.0,0.0,-0.6868821800694631,0.0,-0.3052631578947368,-0.3043478260869565,-0.8,0.0,0
-0.1066204216472631,-0.1306705902845022,0.0,0.0,-0.588832487309645,0.0,-0.2842105263157894,-0.3043478260869565,-0.8,0.0,0
-0.0877470713294147,-0.0544293786367482,0.1467104057276611,0.0,-0.7039807640929737,-0.7222222222221696,-0.2631578947368421,-0.3043478260869565,-0.8,0.0,0
-0.054121715364915,-0.9695983108626012,2.4934255623147923,0.0,0.3211327811915575,-421.6111111110951,-0.2421052631578947,-0.217391304347826,-0.8,0.0,1
-0.0782104118227274,-0.9695983108626012,2.5600257674971227,0.0,0.3211327811915575,-440.2222222222055,-0.2210526315789473,-0.217391304347826,-0.8,0.0,1
-0.0429994955537978,-0.9695983108626012,2.7510804345789004,0.0,0.3211327811915575,-452.1666666666495,-0.2,-0.217391304347826,-0.8,0.0,1
-0.0517118106261357,-0.9695983108626012,2.6650853206742067,0.0,0.3211327811915575,-444.55555555553866,-0.1789473684210526,-0.217391304347826,-0.8,0.0,1
-0.0747989775555232,-0.9695983108626012,2.556068661022177,0.0,0.3211327811915575,-438.4444444444279,-0.1578947368421052,-0.1304347826086956,-0.8,0.0,1
-0.0398785430267422,-0.9695983108626012,2.7915192889253837,0.0,0.3211327811915575,-455.8888888888716,-0.1368421052631579,-0.1304347826086956,-0.8,0.0,1
-0.0688991296241837,-0.9695983108626012,2.609922380471843,0.0,0.3211327811915575,-443.3888888888721,-0.1157894736842105,-0.1304347826086956,-0.8,0.0,1
-0.0782104118227274,-0.9695983108626012,2.5580494224682218,0.0,0.3211327811915575,-439.94444444442775,-0.0947368421052631,-0.1304347826086956,-0.8,0.0,1
-0.0291458663357524,-0.9695983108626012,2.831647750983706,0.0,0.3211327811915575,-457.1666666666493,-0.0736842105263157,-0.0434782608695652,-0.8,0.0,1
-0.0877470713294147,-0.9695983108626012,1.6793701504442176,0.0,0.3211327811915575,-263.61111111110114,-0.0526315789473684,-0.0434782608695652,-0.8,0.0,2
-0.0903885439921072,-0.9695983108626012,1.5611996052151935,0.0,0.3211327811915575,-231.61111111110236,-0.031578947368421,-0.0434782608695652,-0.8,0.0,2
-0.0453565406475038,-0.9695983108626012,1.8093180593856424,0.0,0.3211327811915575,-270.77777777776754,-0.0105263157894736,-0.0434782608695652,-0.8,0.0,2
-0.0877470713294147,-0.9695983108626012,1.5222824514626077,0.0,0.3211327811915575,-218.38888888888064,0.0105263157894736,0.0434782608695652,-0.8,0.0,2
-0.0782104118227274,-0.9695983108626012,2.33224302410082,0.0,0.3211327811915575,-406.1111111110957,0.031578947368421,0.0434782608695652,-0.8,0.0,1
-0.0261323281546479,-0.9695983108626012,2.8225190361251555,0.0,0.3211327811915575,-455.22222222220495,0.0526315789473684,0.0434782608695652,-0.8,0.0,1
-0.0722596463400559,-0.9695983108626012,2.5455964166002456,0.0,0.3211327811915575,-436.1111111110946,0.0736842105263157,0.0434782608695652,-0.8,0.0,1
-0.0722596463400559,-0.9695983108626012,2.5435875990192183,0.0,0.3211327811915575,-435.8333333333168,0.0947368421052631,0.1304347826086956,-0.8,0.0,1
-0.0261323281546479,-0.9695983108626012,2.8291011731402618,0.0,0.3211327811915575,-455.9999999999827,0.1157894736842105,0.1304347826086956,-0.8,0.0,1
-0.0747989775555232,-0.9695983108626012,2.549100929862184,0.0,0.3211327811915575,-437.4999999999834,0.1368421052631579,0.1304347826086956,-0.8,0.0,1
-0.0722596463400559,-0.9695983108626012,2.56150513982091,0.0,0.3211327811915575,-438.2777777777612,0.1578947368421052,0.1304347826086956,-0.8,0.0,1
-0.0238872041514537,-0.9695983108626012,2.831647750983706,0.0,0.3211327811915575,-455.61111111109386,0.1789473684210526,0.217391304347826,-0.8,0.0,1
-0.0747989775555232,-0.9695983108626012,2.5455964166002456,0.0,0.3211327811915575,-437.055555555539,0.2,0.217391304347826,-0.8,0.0,1
-0.0630863216186698,-0.9695983108626012,2.6215093477968194,0.0,0.3211327811915575,-442.8888888888721,0.2210526315789473,0.217391304347826,-0.8,0.0,1
-0.0375539451543512,-0.9695983108626012,2.7831174214861982,0.0,0.3211327811915575,-454.22222222220506,0.2421052631578947,0.217391304347826,-0.8,0.0,1
-0.0747989775555232,-0.9695983108626012,2.5471000477975405,0.0,0.3211327811915575,-437.2222222222057,0.2631578947368421,0.3043478260869565,-0.8,0.0,1
-0.0517118106261357,-0.9695983108626012,2.669894355484304,0.0,0.3211327811915575,-445.16666666664975,0.2842105263157894,0.3043478260869565,-0.8,0.0,1
-0.0375539451543512,-0.9695983108626012,2.753860957875208,0.0,0.3211327811915575,-450.7777777777607,0.3052631578947368,0.3043478260869565,-0.8,0.0,1
-0.0782104118227274,-0.9695983108626012,2.552591641910975,0.0,0.3211327811915575,-439.2222222222056,0.3263157894736842,0.3043478260869565,-0.8,0.0,1
-0.048521362453618,-0.9695983108626012,2.71742882801766,0.0,0.3211327811915575,-449.94444444442735,0.3473684210526316,0.391304347826087,-0.8,0.0,1
-0.0453565406475038,-0.9695983108626012,2.730554700495468,0.0,0.3211327811915575,-450.49999999998295,0.3684210526315789,0.391304347826087,-0.8,0.0,1
-0.0782104118227274,-0.9695983108626012,2.552591641910975,0.0,0.3211327811915575,-439.2222222222056,0.3894736842105263,0.391304347826087,-0.8,0.0,1
-0.0398785430267422,-0.9695983108626012,2.7652882426011525,0.0,0.3211327811915575,-452.8888888888717,0.4105263157894737,0.391304347826087,-0.8,0.0,1
-0.0598028176460102,-0.9695983108626012,2.6637692248448217,0.0,0.3211327811915575,-447.1111111110942,0.431578947368421,0.4782608695652174,-0.8,0.0,1
-0.0816516406528021,-0.9695983108626012,2.5600257674971227,0.0,0.3211327811915575,-441.44444444442775,0.4526315789473684,0.4782608695652174,-0.8,0.0,1
-0.0375539451543512,-0.9695983108626012,2.8356347927339414,0.0,0.3211327811915575,-460.1111111110936,0.4736842105263157,0.4782608695652174,-0.8,0.0,1
-0.0782104118227274,-0.9695983108626012,2.580997742344572,0.0,0.3211327811915575,-442.9444444444277,0.4947368421052631,0.4782608695652174,-0.8,0.0,1
-0.0782104118227274,-0.9695983108626012,2.5790676591034787,0.0,0.3211327811915575,-442.6666666666499,0.5157894736842106,0.5652173913043478,-0.8,0.0,1
-0.0453565406475038,-0.9695983108626012,2.0374365999248787,0.0,0.3211327811915575,-329.0555555555431,0.5368421052631579,0.5652173913043478,-0.8,0.0,2
-0.093938281482918,-0.9695983108626012,1.6550469370805176,0.0,0.3211327811915575,-261.05555555554565,0.5578947368421052,0.5652173913043478,-0.8,0.0,2
-0.0722596463400559,-0.9695983108626012,2.5237592845423817,0.0,0.3211327811915575,-433.1111111110947,0.5789473684210527,0.5652173913043478,-0.8,0.0,1
-0.0398785430267422,-0.9695983108626012,2.800971184610062,0.0,0.3211327811915575,-456.9444444444271,0.6,0.6521739130434783,-0.8,0.0,1
-0.0842524302704854,-0.9695983108626012,2.580997742344572,0.0,0.3211327811915575,-445.05555555553866,0.6210526315789474,0.6521739130434783,-0.8,0.0,1
-0.0573580226473714,-0.9695983108626012,2.7293323738780746,0.0,0.3211327811915575,-454.1666666666495,0.6421052631578947,0.6521739130434783,-0.8,0.0,1
